ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
600528.SH,20250613,7.35,7.41,7.42,7.33,7.38,-0.03,-0.0041,46482351.0,342868801.0
600528.SH,20250606,7.38,7.32,7.42,7.3,7.35,0.03,0.0041,34325840.0,252546657.0
600528.SH,20250530,7.35,7.31,7.38,7.28,7.32,0.03,0.0041,41213007.0,302294255.0
600528.SH,20250523,7.32,7.45,7.49,7.31,7.46,-0.14,-0.0188,56414941.0,418951456.0
600528.SH,20250516,7.46,7.48,7.56,7.42,7.45,0.01,0.0013,67424056.0,505091623.0
600528.SH,20250509,7.45,7.32,7.55,7.3,7.3,0.15,0.0205,71834924.0,533989614.0
600528.SH,20250430,7.3,8.01,8.03,7.28,8.04,-0.74,-0.092,89811858.0,671861773.0
600528.SH,20250425,8.04,7.91,8.09,7.9,7.93,0.11,0.0139,46527186.0,372247864.0
600528.SH,20250418,7.93,7.91,8.02,7.78,7.91,0.02,0.0025,54594544.0,430606113.0
600528.SH,20250411,7.91,8.06,8.19,7.5,8.32,-0.41,-0.0493,127586861.0,1011504690.0
600528.SH,20250403,8.32,8.06,8.37,8.06,7.96,0.36,0.0452,90430251.0,747569660.0
600528.SH,20250328,7.96,8.05,8.2,7.88,8.0,-0.04,-0.005,95245850.0,767698360.0
600528.SH,20250321,8.0,7.82,8.11,7.74,7.79,0.21,0.027,74182494.0,586354251.0
600528.SH,20250314,7.79,7.62,7.8,7.52,7.62,0.17,0.0223,56874496.0,436544932.0
600528.SH,20250307,7.62,7.54,7.66,7.44,7.56,0.06,0.0079,53213010.0,402802058.0
600528.SH,20250228,7.56,7.64,7.88,7.53,7.64,-0.08,-0.0105,71867267.0,554882685.0
600528.SH,20250221,7.64,7.69,7.74,7.54,7.7,-0.06,-0.0078,56085093.0,428486976.0
600528.SH,20250214,7.7,7.72,7.8,7.65,7.72,-0.02,-0.0026,44314025.0,342181548.0
600528.SH,20250207,7.72,7.8,7.84,7.55,7.8,-0.08,-0.0103,33021010.0,252713539.0
600528.SH,20250127,7.8,7.72,7.87,7.71,7.74,0.06,0.0078,9496942.0,74266143.0
600528.SH,20250124,7.74,7.72,7.87,7.55,7.7,0.04,0.0052,42916960.0,331973216.0
600528.SH,20250117,7.7,7.31,7.7,7.27,7.33,0.37,0.0505,56874924.0,427154251.0
600528.SH,20250110,7.33,7.65,7.72,7.32,7.68,-0.35,-0.0456,54209287.0,407656546.0
600528.SH,20250103,7.68,8.25,8.3,7.6,8.26,-0.58,-0.0702,61333599.0,487363073.0
600528.SH,20241227,8.26,8.22,8.29,8.12,8.19,0.07,0.0085,57226409.0,469924921.0
600528.SH,20241220,8.19,8.25,8.4,8.11,8.25,-0.06,-0.0073,65278672.0,537674632.0
600528.SH,20241213,8.25,8.52,8.63,8.24,8.48,-0.23,-0.0271,78397153.0,659979790.0
600528.SH,20241206,8.48,8.35,8.5,8.31,8.32,0.16,0.0192,59327559.0,499741313.0
600528.SH,20241129,8.32,8.19,8.36,7.96,8.18,0.14,0.0171,71860661.0,586983045.0
600528.SH,20241122,8.18,8.6,8.98,8.17,8.37,-0.19,-0.0227,170890455.0,1459096950.0
600528.SH,20241115,8.37,8.46,8.58,8.32,8.51,-0.14,-0.0165,98137161.0,828546006.0
600528.SH,20241108,8.51,8.14,8.73,8.06,8.15,0.36,0.0442,142449307.0,1201442347.0
600528.SH,20241101,8.15,8.17,8.36,8.03,8.17,-0.02,-0.0024,105100305.0,858186210.0
600528.SH,20241025,8.17,8.09,8.38,8.01,8.09,0.08,0.0099,105094803.0,858578631.0
600528.SH,20241018,8.09,7.96,8.22,7.87,7.96,0.13,0.0163,130014107.0,1050977046.0
600528.SH,20241011,7.96,9.09,9.09,7.87,8.26,-0.3,-0.0363,258918255.0,2185757110.0
600528.SH,20240930,8.26,8.0,8.35,7.86,7.69,0.57,0.0741,49186072.0,399548335.0
600528.SH,20240927,7.69,6.73,7.73,6.7,6.77,0.92,0.1359,81647548.0,593480102.0
600528.SH,20240920,6.77,6.66,6.83,6.58,6.66,0.11,0.0165,20784361.0,139863472.0
600528.SH,20240913,6.66,6.68,6.77,6.61,6.7,-0.04,-0.006,32882281.0,219916659.0
600528.SH,20240906,6.7,6.89,6.89,6.68,6.85,-0.15,-0.0219,43740790.0,296882261.0
600528.SH,20240830,6.85,7.04,7.08,6.66,7.03,-0.18,-0.0256,41842001.0,288668852.0
600528.SH,20240823,7.03,7.3,7.44,6.97,7.34,-0.31,-0.0422,32831592.0,236300759.0
600528.SH,20240816,7.34,7.36,7.55,7.29,7.39,-0.05,-0.0068,37099870.0,274628575.0
600528.SH,20240809,7.39,7.47,7.57,7.32,7.49,-0.1,-0.0134,35978216.0,267229394.0
600528.SH,20240802,7.49,7.2,7.64,7.19,7.22,0.27,0.0374,51469585.0,383126531.0
600528.SH,20240726,7.22,7.2,7.24,7.06,7.22,0.0,0.0,38982207.0,279340336.0
600528.SH,20240719,7.22,7.21,7.24,6.98,7.2,0.02,0.0028,31673909.0,225684392.0
600528.SH,20240712,7.2,7.27,7.3,6.91,7.27,-0.07,-0.0096,51626668.0,366185571.0
600528.SH,20240705,7.27,7.33,7.52,7.23,7.32,-0.05,-0.0068,34409365.0,254393979.0
600528.SH,20240628,7.32,7.48,7.48,7.21,7.49,-0.17,-0.0227,41452664.0,303323891.0
600528.SH,20240621,7.49,7.47,7.66,7.43,7.51,-0.02,-0.0027,37418938.0,282229627.0
600528.SH,20240614,7.51,7.73,7.74,7.41,7.75,-0.24,-0.031,46570727.0,351234815.0
600528.SH,20240607,7.75,7.78,7.9,7.58,7.79,-0.04,-0.0051,59677701.0,463245834.0
600528.SH,20240531,7.79,7.95,7.98,7.76,7.92,-0.13,-0.0164,44560455.0,349882249.0
600528.SH,20240524,7.92,8.05,8.13,7.89,8.07,-0.15,-0.0186,64778998.0,519919294.0
600528.SH,20240517,8.07,8.02,8.38,7.97,8.07,0.0,0.0,103845916.0,844809137.0
600528.SH,20240510,8.07,7.94,8.14,7.88,7.83,0.24,0.0307,90162461.0,725350843.0
600528.SH,20240430,7.83,7.84,7.98,7.67,7.93,-0.1,-0.0126,46536885.0,365127293.0
600528.SH,20240426,7.93,8.15,8.28,7.74,8.17,-0.24,-0.0294,99758439.0,788211475.0
600528.SH,20240419,8.17,7.67,8.32,7.63,7.66,0.51,0.0666,197479607.0,1600179678.0
600528.SH,20240412,7.66,7.71,7.8,7.49,7.74,-0.08,-0.0103,66484753.0,510038582.0
600528.SH,20240403,7.74,7.59,7.81,7.59,7.6,0.14,0.0184,44028698.0,340155841.0
600528.SH,20240329,7.6,7.63,7.86,7.44,7.67,-0.07,-0.0091,76076363.0,582520145.0
600528.SH,20240322,7.67,7.96,8.11,7.62,7.99,-0.32,-0.0401,82018254.0,646871865.0
600528.SH,20240315,7.99,8.13,8.33,7.84,8.11,-0.12,-0.0148,101348607.0,813167425.0
600528.SH,20240308,8.11,8.07,8.27,7.82,8.09,0.02,0.0025,104034755.0,833037003.0
600528.SH,20240301,8.09,7.72,8.11,7.67,7.71,0.38,0.0493,138737004.0,1089365357.0
600528.SH,20240223,7.71,7.78,7.87,7.53,7.67,0.04,0.0052,100161773.0,767880373.0
600528.SH,20240208,7.67,6.9,7.98,6.45,6.99,0.68,0.0973,131836586.0,964628203.0
600528.SH,20240202,6.99,7.61,8.0,6.75,7.63,-0.64,-0.0839,149974415.0,1125215269.0
600528.SH,20240126,7.63,7.07,7.71,6.6,7.07,0.56,0.0792,108434145.0,788632191.0
600528.SH,20240119,7.07,7.33,7.47,6.93,7.37,-0.3,-0.0407,58370101.0,421653970.0
600528.SH,20240112,7.37,7.4,7.47,7.25,7.43,-0.06,-0.0081,43042113.0,316274457.0
600528.SH,20240105,7.43,7.44,7.55,7.4,7.44,-0.01,-0.0013,36902803.0,276209198.0
600528.SH,20231229,7.44,7.29,7.47,7.2,7.3,0.14,0.0192,37684380.0,276582061.0
600528.SH,20231222,7.3,7.43,7.47,7.2,7.45,-0.15,-0.0201,39286552.0,287424208.0
600528.SH,20231215,7.45,7.38,7.59,7.31,7.4,0.05,0.0068,41758595.0,312015561.0
600528.SH,20231208,7.4,7.66,7.71,7.39,7.65,-0.25,-0.0327,56009308.0,421343965.0
600528.SH,20231201,7.65,7.66,7.7,7.51,7.7,-0.05,-0.0065,56823034.0,431670194.0
600528.SH,20231124,7.7,7.79,7.92,7.64,7.78,-0.08,-0.0103,64392961.0,499965978.0
600528.SH,20231117,7.78,7.8,8.03,7.73,7.78,0.0,0.0,58929637.0,463250176.0
600528.SH,20231110,7.78,7.88,8.04,7.7,7.86,-0.08,-0.0102,60027930.0,473864986.0
600528.SH,20231103,7.86,8.26,8.29,7.85,8.27,-0.41,-0.0496,62708884.0,500288920.0
600528.SH,20231027,8.27,8.0,8.63,7.78,8.03,0.24,0.0299,58167686.0,474309182.0
600528.SH,20231020,8.03,8.16,8.32,8.0,8.2,-0.17,-0.0207,36679176.0,300167929.0
600528.SH,20231013,8.2,9.02,9.08,7.9,8.81,-0.61,-0.0692,103996467.0,861836104.0
600528.SH,20230928,8.81,8.75,8.84,8.57,8.73,0.08,0.0092,32563656.0,283306283.0
600528.SH,20230922,8.73,8.6,8.73,8.48,8.6,0.13,0.0151,43641980.0,376128406.0
600528.SH,20230915,8.6,8.55,8.76,8.48,8.53,0.07,0.0082,52838420.0,456965135.0
600528.SH,20230908,8.53,8.73,8.93,8.48,8.7,-0.17,-0.0195,52048085.0,452908467.0
600528.SH,20230901,8.7,9.08,9.17,8.6,8.65,0.05,0.0058,70399137.0,620131828.0
600528.SH,20230825,8.65,9.31,9.48,8.6,9.33,-0.68,-0.0729,55299572.0,499013645.0
600528.SH,20230818,9.33,9.5,9.61,9.24,9.57,-0.24,-0.0251,48369978.0,456969750.0
600528.SH,20230811,9.57,10.09,10.15,9.56,10.29,-0.72,-0.07,55285299.0,544824834.0
600528.SH,20230804,10.29,9.88,10.5,9.88,9.88,0.41,0.0415,82360340.0,847140601.0
600528.SH,20230728,9.88,9.5,9.95,9.47,9.52,0.36,0.0378,46775910.0,457368377.0
600528.SH,20230721,9.52,9.79,9.93,9.46,9.76,-0.24,-0.0246,45597847.0,443720150.0
600528.SH,20230714,9.76,9.84,9.99,9.53,9.81,-0.05,-0.0051,52511133.0,512973095.0
600528.SH,20230707,9.81,9.81,10.12,9.69,9.88,-0.07,-0.0071,62545486.0,622175750.0
600528.SH,20230630,9.88,9.7,9.99,9.33,9.79,0.09,0.0092,66781165.0,646666165.0
600528.SH,20230621,9.79,10.18,10.21,9.69,10.2,-0.41,-0.0402,39654067.0,393052917.0
600528.SH,20230616,10.2,9.7,10.38,9.4,9.76,0.44,0.0451,81375963.0,799430475.0
600528.SH,20230609,9.76,10.05,10.15,9.58,10.02,-0.26,-0.0259,68158175.0,669610958.0
600528.SH,20230602,10.02,9.49,10.52,9.48,9.46,0.56,0.0592,115936557.0,1179256273.0
600528.SH,20230526,9.46,9.75,10.02,9.27,9.82,-0.36,-0.0367,69369631.0,667528634.0
600528.SH,20230519,9.82,10.17,10.29,9.68,10.17,-0.35,-0.0344,100653345.0,1006295355.0
600528.SH,20230512,10.17,10.74,11.3,10.15,10.67,-0.5,-0.0469,189060313.0,2030153942.0
600528.SH,20230505,10.67,10.62,11.18,10.46,10.62,0.05,0.0047,79053242.0,857504938.0
600528.SH,20230428,10.62,10.51,10.74,9.71,10.58,0.04,0.0038,172642416.0,1764387882.0
600528.SH,20230421,10.58,10.24,11.1,10.1,10.2,0.38,0.0373,173032808.0,1826631851.0
600528.SH,20230414,10.2,9.71,10.21,9.59,9.67,0.53,0.0548,107517138.0,1064298218.0
600528.SH,20230407,9.67,9.51,10.61,9.5,9.5,0.17,0.0179,136346153.0,1360996742.0
600528.SH,20230331,9.5,9.66,9.8,9.36,9.71,-0.21,-0.0216,87000496.0,831367862.0
600528.SH,20230324,9.71,10.23,10.87,9.64,10.12,-0.41,-0.0405,187843585.0,1898852034.0
600528.SH,20230317,10.12,9.32,10.45,9.3,9.1,1.02,0.1121,218714139.0,2153835407.0
600528.SH,20230310,9.1,9.34,9.87,9.09,9.19,-0.09,-0.0098,183986058.0,1733017044.0
600528.SH,20230303,9.19,8.26,9.35,8.26,8.29,0.9,0.1086,174529770.0,1560556551.0
600528.SH,20230224,8.29,8.11,8.46,8.11,8.09,0.2,0.0247,50371766.0,419600502.0
600528.SH,20230217,8.09,8.22,8.4,8.06,8.22,-0.13,-0.0158,60728543.0,501775715.0
600528.SH,20230210,8.22,8.15,8.3,8.11,8.16,0.06,0.0074,41115526.0,337750667.0
600528.SH,20230203,8.16,8.15,8.33,8.06,8.07,0.09,0.0112,64671025.0,529799138.0
600528.SH,20230120,8.07,7.82,8.09,7.82,7.82,0.25,0.032,33691639.0,267845171.0
600528.SH,20230113,7.82,7.87,7.98,7.72,7.86,-0.04,-0.0051,29162203.0,228441486.0
600528.SH,20230106,7.86,7.65,7.95,7.62,7.63,0.23,0.0301,33061596.0,258915802.0
