code,name,buy_date,sell_date,buy_price,sell_price,qty,pnl,ret,hold_days,buy_fee,sell_fee,mfe,mae,pullback60,ma20_slope,ret10_prior,above_ma20,post5,post10,max_post10,min_post10,gave_back,exit_class,entry_class
912,泸天化,2026-03-03,2026-03-04,5.7,5.35,6600,-2354.2200000000003,-0.0614035087719299,1,13.71,30.51,0.024561403508771784,-0.12807017543859656,0.06542056074766367,0.1836283185840708,0.1431623931623931,True,0.056074766355140415,0.08785046728971979,0.252336448598131,-0.04859813084112141,0.08596491228070169,恐慌止损(卖后反弹),顺势/平台
938,紫光股份,2025-09-09,2025-10-27,26.65,28.28,800,1276.69,0.0611632270168856,48,7.77,19.540000000000003,0.20675422138836774,-0.013883677298311303,-0.11608623548922059,0.11289031224979995,-0.015929203539822967,False,-0.03783592644978784,-0.06471004243281475,0.021216407355021172,-0.07637906647807635,0.14559099437148215,止盈正确,高位回落接盘
968,蓝焰控股,2026-03-27,2026-03-30,11.49,10.99,4700,-2414.27,-0.0435161009573542,3,19.65,44.620000000000005,0.06005221932114879,-0.053089643167972045,0.007894736842105177,0.2709302325581395,0.15539112050739945,True,-0.04549590536851689,-0.09008189262966337,-0.005459508644222066,-0.16833484986351221,0.10356832027850299,浮盈转亏(止盈失败),追涨/主升
993,闽东电力,2026-04-28,2026-04-29,12.9,12.54,2700,-1013.95,-0.0279069767441861,1,12.69,29.26,0.003875968992248069,-0.06046511627906981,-0.25303995367689636,-0.16115981119352663,-0.016600790513834007,False,0.026315789473684292,0.07814992025518341,0.16507177033492826,-0.027113237639553422,0.03178294573643417,亏损其他,下降通道抄底
1309,德明利,2026-02-09,2026-02-13,239.94,251.24,100,1099.55,0.0470951071101109,4,8.74,21.71,0.059681587063432406,-0.023422522297240955,-0.22097402597402593,-0.029376224009333818,-0.15232896652110628,False,-0.018667409648145172,0.11447221779971328,0.11447221779971328,-0.09648145199808955,0.01258647995332151,过早止盈(卖后继续大涨),下降通道抄底
2025,航天电器,2026-03-25,2026-03-27,65.62,59.96,200,-1147.49,-0.0862541907954892,2,5.13,10.36,0.043889058213959053,-0.11139896373057001,-0.048019730161033,0.29320987654320985,0.18675871835723146,True,0.0115076717811875,0.2901934623082054,0.35106737825216827,-0.02101400933955966,0.13014324900944824,恐慌止损(卖后反弹),追涨/主升
2025,航天电器,2026-03-25,2026-03-27,65.0,59.96,100,-514.25,-0.0775384615384615,2,5.07,5.18,0.05384615384615388,-0.1029230769230769,-0.05701436239663438,0.29320987654320985,0.18675871835723146,True,0.0115076717811875,0.2901934623082054,0.35106737825216827,-0.02101400933955966,0.13138461538461538,恐慌止损(卖后反弹),追涨/主升
2025,航天电器,2026-04-29,2026-04-30,68.8,71.99,300,930.82,0.0463662790697674,1,7.510000000000001,18.67,0.08197674418604661,-0.019767441860465085,-0.17732870979313642,0.10179735963098446,-0.130538471193674,False,0.04042228087234356,0.012779552715654896,0.08362272537852489,-0.0776496735657729,0.035610465116279216,过早止盈(卖后继续大涨),高位回落接盘
2031,巨轮智能,2026-05-14,2026-05-15,7.72,7.26,100,-56.379999999999995,-0.0595854922279792,1,5.01,5.37,0.08808290155440424,-0.06994818652849744,-0.031367628607277265,0.17770597738287552,0.24828767123287676,True,0.019283746556473913,-0.14049586776859502,0.21212121212121215,-0.1460055096418732,0.14766839378238344,恐慌止损(卖后反弹),追涨/主升
2036,联创电子,2026-05-25,2026-05-26,10.68,10.66,900,-31.399468085106385,-0.0018726591760299,1,3.499468085106382,9.9,0.023408239700374533,-0.05149812734082382,,,,,-0.1360225140712945,-0.1651031894934334,0.015947467166979257,-0.2054409005628517,0.025280898876404435,亏损其他,未知
2036,联创电子,2026-05-25,2026-05-28,10.68,9.62,8500,-9113.706006367447,-0.099250936329588,3,33.05053191489361,70.65547445255474,0.023408239700374533,-0.1095505617977528,,,,,-0.08004158004158002,-0.1725571725571725,0.11122661122661137,-0.1787941787941787,0.12265917602996253,恐慌止损(卖后反弹),未知
2036,联创电子,2026-05-27,2026-05-28,10.19,9.62,5200,-3026.5145255474526,-0.055937193326791,1,19.29,43.22452554744525,0.06280667320902844,-0.0667320902845927,,,,,-0.08004158004158002,-0.1725571725571725,0.11122661122661137,-0.1787941787941787,0.11874386653581945,恐慌止损(卖后反弹),未知
2049,紫光国微,2025-08-20,2025-08-22,79.64,82.64,200,495.18,0.0376695128076343,2,47.39,57.43,0.06077348066298338,-0.0066549472626821204,-0.08217125734700925,0.21958456973293772,0.06892067620286091,True,-0.01294772507260411,-0.0971684414327203,0.04065827686350443,-0.130566311713456,0.02310396785534908,盈利持有合理,顺势/平台
2050,三花智控,2026-01-22,2026-01-28,56.79,51.43,800,-4340.08,-0.0943828138756823,6,16.54,35.54,0.0318718084169749,-0.10582849093150204,-0.06549284186276128,0.2912210338680927,0.06584513518484458,True,0.00447209799727788,0.014194050165273087,0.04802644370989695,-0.04569317518957805,0.12625462229265721,止损过晚(死扛),顺势/平台
2081,金 螳 螂,2026-05-29,2026-06-01,6.16,6.29,1600,192.77,0.021103896103896,3,5.1,10.13,0.10064935064935066,-0.09902597402597413,-0.28372093023255807,0.1498973305954825,-0.2866242038216561,False,-0.13672496025437209,-0.18600953895071537,0.1812400635930047,-0.20826709062003168,0.07954545454545466,盈利持有合理,高位回落接盘
2082,万邦德,2026-04-01,2026-04-02,33.22,33.3,5300,207.3499999999709,0.0024081878386513,1,64.1,152.55,0.045454545454545414,-0.11830222757375075,0.10000000000000009,0.8051404662283324,0.7023675310033823,True,-0.10510510510510496,-0.1207207207207206,0.0882882882882885,-0.17987987987987986,0.043046357615894114,盈利持有合理,追涨/主升
2149,西部材料,2026-02-27,2026-03-02,52.48,55.6,1000,3052.85,0.0594512195121952,3,19.1,48.05,0.09203506097560976,-0.05487804878048774,-0.09486029665401863,0.273989898989899,-0.08951452806352633,True,-0.14388489208633093,-0.19622302158273386,-0.010791366906474864,-0.24532374100719423,0.03258384146341456,止盈正确,顺势/平台
