account,code,name,open_date,close_date,hold_days,buy_price,sell_price,pnl_net,pnl_pct,t0_close_pct,max_float_gain,max_float_loss,n_buys_in_rt,gave_back_pct,scenario
账户1,002931,锋龙股份,2026-03-16,2026-03-17,1.0,74.15,73.11,-117.8,-1.4,-0.9844908968307586,11.935266351989204,-4.383007417397167,1,13.335266351989205,G. 其他亏损
账户1,002971,和远气体,2026-01-08,2026-01-09,1.0,32.804,31.566,-1660.38,-3.77,2.517985611510798,2.517985611510798,-5.224972564321428,1,6.287985611510798,G. 其他亏损
账户1,003035,南网能源,2026-05-28,2026-06-01,4.0,7.31,7.18,-1249.79,-1.78,-0.5471956224350261,4.514363885088923,-6.0191518467852205,1,6.294363885088924,G. 其他亏损
账户1,003035,南网能源,2026-05-28,2026-06-01,4.0,7.31,7.2,-1069.95,-1.5,-0.5471956224350261,4.514363885088923,-6.0191518467852205,1,6.014363885088923,G. 其他亏损
账户1,300003,乐普医疗,2026-01-06,2026-01-07,1.0,19.99,18.96,-2212.69,-5.15,-2.401200600300135,3.3016508254127164,-7.5037518759379696,1,8.451650825412717,E. 买了就跌 → 割肉
账户1,300014,亿纬锂能,2026-04-09,2026-04-14,5.0,65.5,70.42,2417.65,7.51,-0.595419847328249,10.687022900763354,-2.2748091603053355,1,3.1770229007633546,F. 其他盈利
账户1,300136,信维通信,2026-06-11,2026-06-15,4.0,100.0,95.921,-6297.44,-4.08,-0.7199999999999984,5.000000000000004,-9.999999999999998,1,9.080000000000005,G. 其他亏损
账户1,300164,通源石油,2026-03-03,2026-03-04,1.0,21.69,23.05,6261.27,6.27,0.04610419548178868,18.948824343015215,-18.07284462886123,1,12.678824343015215,F. 其他盈利
账户1,300185,通裕重工,2026-06-10,2026-06-11,1.0,2.86,2.75,-4706.96,-3.85,0.0,2.0979020979021046,-8.391608391608385,1,5.947902097902105,G. 其他亏损
账户1,300209,行云科技,2026-06-04,2026-06-05,1.0,27.1,25.881,-2001.98,-4.5,-4.391143911439121,2.435424354243554,-9.188191881918828,2,6.935424354243554,E. 买了就跌 → 割肉
账户1,300209,行云科技,2026-06-04,2026-06-05,1.0,26.52,25.881,-269.66,-2.41,-2.300150829562597,4.675716440422328,-7.202111613876316,2,7.0857164404223285,E. 买了就跌 → 割肉
账户1,300274,阳光电源,2026-03-17,2026-03-18,1.0,174.44,161.7,-5177.3,-7.3,-4.563173584040358,1.542077505159356,-7.509745471222196,2,8.842077505159356,D. 买了就跌 → 死扛到大亏(且加仓)
账户1,300274,阳光电源,2026-03-18,2026-03-19,1.0,163.52,163.64,-24.28,0.07,1.8774461839530243,4.195205479452047,-1.3331702544031376,1,4.125205479452046,C. 买了就涨 → 落袋(部分利润 · 或最大浮盈的一部分)
账户1,300395,菲利华,2026-05-12,2026-05-13,1.0,136.219,146.49,5047.41,7.54,8.76603117039474,10.483853206968185,-3.992835067061129,1,2.9438532069681846,C. 买了就涨 → 落袋(部分利润 · 或最大浮盈的一部分)
账户1,300395,菲利华,2026-05-12,2026-05-14,2.0,136.219,143.55,4294.42,5.38,8.76603117039474,10.483853206968185,-3.992835067061129,1,5.103853206968185,C. 买了就涨 → 落袋(部分利润 · 或最大浮盈的一部分)
账户1,300395,菲利华,2026-05-15,2026-05-19,4.0,138.0,129.952,-1642.11,-5.83,-3.021739130434775,4.021739130434798,-7.427536231884058,4,9.851739130434797,D. 买了就跌 → 死扛到大亏(且加仓)
账户1,300395,菲利华,2026-05-15,2026-05-19,4.0,135.8,129.952,-2403.9,-4.31,-1.450662739322528,5.706921944035348,-5.927835051546404,4,10.016921944035348,D. 买了就跌 → 死扛到大亏(且加仓)
