account,code,name,open_date,close_date,hold_days,buy_price,sell_price,d0_pct,d1_open_pct,d1_high_pct,d1_low_pct,d1_close_pct,t1_limit_up,d2_pct,ideal_gain_pct,actual_gain_pct,missed_pct,pnl_net,limit_up_pct,scenario,exit_t1,exit_late
账户1,600056,中国医药,2026-04-03,2026-04-14,11,11.59,10.6,9.962049335863377,-1.035375323554777,-1.035375323554777,-4.659188955996541,-2.674719585849872,False,-2.2163120567375905,-1.035375323554777,-8.54,7.504624676445222,-7625.69,10.0,T+1 低开 1-3% (模板:竞价撤 · 若买不到干脆放弃),False,True
账户1,600256,广汇能源,2026-03-03,2026-03-04,1,6.88,7.09,10.046367851622872,-0.2808988764045006,1.8258426966292207,-9.97191011235955,-3.370786516853941,False,-1.744186046511631,5.3779069767441845,3.05,2.3279069767441847,886.03,10.0,T+1 平开 (模板:开盘直接走 or 分时看破均),True,False
账户1,600528,中铁工业,2026-03-31,2026-04-01,1,9.17,8.701,9.95203836930456,4.580152671755733,4.689203925845153,-6.870229007633599,-6.434023991275895,False,0.932400932400923,4.689203925845153,-5.11,9.799203925845154,-9741.14,10.0,T+1 高开 2-5% (模板:开盘先撤 · 分时判断),True,False
账户1,600857,宁波中百,2026-05-14,2026-05-15,1,14.697,14.07,9.99291282778172,0.19329896907216426,0.19329896907216426,-9.987113402061853,-9.987113402061853,False,5.5118110236220375,5.803905558957623,-4.27,10.073905558957623,-2384.67,10.0,T+1 平开 (模板:开盘直接走 or 分时看破均),True,False
账户1,600936,北投科技,2026-06-02,2026-06-04,2,5.83,6.15,10.03717472118959,3.040540540540526,9.966216216216207,1.3513513513513598,9.966216216216207,True,-5.222734254992323,11.663807890222987,5.49,6.173807890222987,529.87,10.0,T+1 封板(继续持有 · 你若走了是踏空),False,False
账户1,600936,北投科技,2026-06-03,2026-06-04,1,6.2,6.15,9.966216216216207,-2.1505376344086002,2.304147465437789,-6.144393241167423,-5.222734254992323,False,-3.0794165316045286,7.41935483870968,-0.81,8.22935483870968,-310.88,10.0,T+1 低开 1-3% (模板:竞价撤 · 若买不到干脆放弃),True,False
账户1,600936,北投科技,2026-06-03,2026-06-04,1,6.08,6.15,9.966216216216207,-2.1505376344086002,2.304147465437789,-6.144393241167423,-5.222734254992323,False,-3.0794165316045286,9.539473684210531,1.15,8.38947368421053,331.1,10.0,T+1 低开 1-3% (模板:竞价撤 · 若买不到干脆放弃),True,False
账户1,601975,招商南油,2026-03-16,2026-03-17,1,4.81,4.95,10.068649885583515,-0.20790020790020236,6.8607068607068555,-2.2869022869022704,2.494802494802495,False,1.4198782961460488,6.8607068607068555,2.91,3.9507068607068554,90.0,10.0,T+1 平开 (模板:开盘直接走 or 分时看破均),True,False
账户1,601975,招商南油,2026-03-16,2026-03-18,2,4.81,4.85,10.068649885583515,-0.20790020790020236,6.8607068607068555,-2.2869022869022704,2.494802494802495,False,1.4198782961460488,6.8607068607068555,0.83,6.0307068607068555,163.49,10.0,T+1 平开 (模板:开盘直接走 or 分时看破均),False,False
账户1,603026,石大胜华,2026-03-26,2026-03-30,4,84.9,93.18,10.005157297576051,-1.5236755743084807,9.997655883731827,-2.719174871073593,9.997655883731827,True,-0.8417687799680218,10.541813898704344,9.75,0.7918138987043442,3267.42,10.0,T+1 封板(继续持有 · 你若走了是踏空),False,True
