ts_code,ann_date,holder_name,holder_type,in_de,change_vol,change_ratio,after_share,after_ratio,avg_price,total_share
601717.SH,20260720,张易辰,G,IN,13500.0,0.0009,,,14.7556,100500.0
601717.SH,20260720,王永强,G,IN,20000.0,0.0013,,,14.8,302300.0
601717.SH,20260720,李开顺,G,IN,80000.0,0.0052,,,14.885,281000.0
601678.SH,20260720,滨州和宜产业投资合伙企业(有限合伙),C,IN,12988114.0,0.6503,239246686.0,10.0,,239246686.0
601127.SH,20260720,刘玲,G,IN,18400.0,0.0012,,,55.9783,45892.0
601127.SH,20260720,申薇,G,IN,21300.0,0.0014,,,56.8075,138248.0
601127.SH,20260720,王平,G,IN,42700.0,0.0027,,,55.5035,200283.0
601127.SH,20260720,康波,G,IN,12500.0,0.0008,,,55.2,66997.0
601127.SH,20260720,尹先知,G,IN,36600.0,0.0024,,,53.8251,101848.0
601127.SH,20260720,周林,G,IN,57100.0,0.0037,,,54.9912,298515.0
601127.SH,20260720,刘联,G,IN,21600.0,0.0014,,,56.4815,370648.0
601966.SH,20260720,玲珑集团有限公司,C,IN,923900.0,0.0631,603324522.0,41.2247,,603324522.0
300627.SZ,20260720,朴东国,G,IN,970000.0,0.1478,4412287.0,0.6725,28.13,14739146.0
600761.SH,20260720,安徽叉车集团有限责任公司,C,IN,242000.0,0.0272,319793142.0,35.9039,16.5289,319793142.0
301518.SZ,20260720,江苏长顺集团有限公司,C,IN,220200.0,0.4119,1060551.0,1.984,30.1283,63327402.0
601717.SH,20260720,张易辰,G,IN,13500.0,0.0009,,,14.7556,100500.0
601717.SH,20260720,王永强,G,IN,20000.0,0.0013,,,14.8,302300.0
601717.SH,20260720,李开顺,G,IN,80000.0,0.0052,,,14.885,281000.0
601678.SH,20260720,滨州和宜产业投资合伙企业(有限合伙),C,IN,12988114.0,0.6503,239246686.0,10.0,,239246686.0
601127.SH,20260720,刘玲,G,IN,18400.0,0.0012,,,55.9783,45892.0
601127.SH,20260720,申薇,G,IN,21300.0,0.0014,,,56.8075,138248.0
601127.SH,20260720,王平,G,IN,42700.0,0.0027,,,55.5035,200283.0
601127.SH,20260720,康波,G,IN,12500.0,0.0008,,,55.2,66997.0
601127.SH,20260720,尹先知,G,IN,36600.0,0.0024,,,53.8251,101848.0
601127.SH,20260720,周林,G,IN,57100.0,0.0037,,,54.9912,298515.0
601127.SH,20260720,刘联,G,IN,21600.0,0.0014,,,56.4815,370648.0
601966.SH,20260720,玲珑集团有限公司,C,IN,923900.0,0.0631,603324522.0,41.2247,,603324522.0
603306.SH,20260721,臧琨,G,IN,22600.0,0.0069,22600.0,0.0069,64.23,22600.0
002714.SZ,20260721,增持主体委托设立的信托计划,C,IN,12644570.0,0.3854,,,39.5427,
600770.SH,20260721,南通综艺投资有限公司,C,IN,2307400.0,0.1775,261263109.0,20.0972,5.7019,261263109.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,122672959.0,0.9922,1854535105.0,15.0,,1854535105.0
605138.SH,20260721,宁波盛泰纺织有限公司,C,IN,4126400.0,0.7427,183754624.0,33.0749,5.788,183754624.0
002102.SZ,20260721,梅平,G,IN,100000.0,0.0046,,,,
600075.SH,20260721,新疆天业(集团)有限公司,C,IN,9736040.0,0.5701,735355150.0,43.0587,4.153,735355150.0
603098.SH,20260721,刘爱森,G,IN,3831349.0,0.7111,140469505.0,26.0708,14.437,140469505.0
603927.SH,20260721,左春,G,IN,37200.0,0.0045,8109264.0,0.9758,13.0699,8109264.0
603927.SH,20260721,孙熙杰,G,IN,89700.0,0.0108,4858722.0,0.5847,12.8506,4858722.0
603927.SH,20260721,张志华,G,IN,40000.0,0.0048,5263806.0,0.6334,12.91,5263806.0
603927.SH,20260721,王欣,G,IN,20000.0,0.0024,2470897.0,0.2973,13.0,2470897.0
603927.SH,20260721,孙静,G,IN,30000.0,0.0036,5751136.0,0.692,12.99,5751136.0
688116.SH,20260721,王鸣光,G,IN,1386.0,0.0004,,,,
002661.SZ,20260721,南县中香泰食品有限公司,C,IN,911700.0,0.287,31319920.0,9.8581,,31319920.0
600188.SH,20260721,山东能源集团有限公司,C,IN,997790.0,0.0167,5304897211.0,0.0099,20.28,5304897211.0
000695.SZ,20260721,旭阳集团有限公司,C,IN,2370000.0,1.0685,43256000.0,19.5013,,43256000.0
002615.SZ,20260721,吕丽珍,G,IN,644900.0,0.2135,,,6.9788,21936400.0
002615.SZ,20260721,欧阳波,G,IN,320000.0,0.1059,,,6.41,14413800.0
002615.SZ,20260721,邵巧蓉,G,IN,30000.0,0.0099,,,6.75,630000.0
601882.SH,20260721,宁波海天股份有限公司,C,IN,424200.0,0.0813,204704000.0,39.2153,,204704000.0
600197.SH,20260721,新疆伊力特集团有限公司,C,IN,385800.0,0.0815,204049427.0,43.1235,,204049427.0
002943.SZ,20260721,杨佳葳,G,IN,126800.0,0.0671,11111800.0,5.8839,39.7043,44066800.0
601127.SH,20260721,其他团队核心成员,P,IN,1786500.0,0.1147,,,56.0034,
600495.SH,20260721,中兵投资管理有限责任公司,C,IN,4968660.0,0.4112,7899760.0,0.6539,,7899760.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,24397970.0,0.1973,1756260116.0,14.2051,,1756260116.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,25053786.0,0.2026,1781313902.0,14.4078,,1781313902.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,20967438.0,0.1696,1802281340.0,14.5774,,1802281340.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,15920858.0,0.1288,1818202198.0,14.7061,,1818202198.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,20833612.0,0.1685,1839035810.0,14.8746,,1839035810.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,3135800.0,0.0254,1842171610.0,14.9,,1842171610.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,2371700.0,0.0192,1844543310.0,14.9192,,1844543310.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,9991795.0,0.0808,1854535105.0,15.0,,1854535105.0
600188.SH,20260721,山东能源集团有限公司,C,IN,997790.0,0.0167,,,20.28,
002615.SZ,20260721,吕丽珍,G,IN,644900.0,0.2135,,,6.9788,21936400.0
605138.SH,20260721,宁波盛泰纺织有限公司,C,IN,1117600.0,0.2012,183754624.0,33.0749,,183754624.0
300014.SZ,20260721,刘建华,G,IN,100000.0,0.0047,,,52.99,20314393.0
002661.SZ,20260721,南县中香泰食品有限公司,C,IN,911700.0,0.286,31319920.0,9.8581,,31319920.0
600197.SH,20260721,新疆伊力特集团有限公司,C,IN,385800.0,0.0816,204049427.0,43.1235,,204049427.0
301004.SZ,20260721,浙江嘉韶云华投资管理有限公司,C,IN,346700.0,0.2547,69252950.0,50.8811,33.383,69252950.0
