ts_code,ann_date,holder_name,holder_type,in_de,change_vol,change_ratio,after_share,after_ratio,avg_price,total_share
300618.SZ,20260819,梁建坤,G,DE,419000.0,0.1537,,,41.02,
301439.SZ,20260819,威海市明博线缆科技有限公司,C,IN,3087750.0,1.685,4494994.0,2.453,,210349879.0
301349.SZ,20260819,李婷,G,DE,16700.0,0.0148,0.0,,65.6,50500.0
301349.SZ,20260819,王晓丽,G,DE,4500.0,0.004,20.0,0.0,74.06,13880.0
301349.SZ,20260819,王晓丽,G,DE,100.0,0.0001,4520.0,0.004,55.04,18380.0
301349.SZ,20260819,王伟,G,DE,2000.0,0.0018,100.0,0.0001,75.6,12700.0
301349.SZ,20260819,王伟,G,DE,1000.0,0.0009,2100.0,0.0019,56.15,14700.0
301349.SZ,20260819,王伟,G,DE,1100.0,0.001,3100.0,0.0028,53.0,16800.0
920634.BJ,20260819,邓英琬,G,DE,61300.0,0.1513,,,17.4405,183900.0
920634.BJ,20260819,刘影,G,DE,27000.0,0.0666,,,18.2839,233100.0
920634.BJ,20260819,刘孟梅,G,DE,75750.0,0.1869,,,17.7147,227250.0
688755.SH,20260819,上海药明康德新药开发有限公司,C,DE,1029645.0,1.2892,5763070.0,7.2158,,5763070.0
688508.SH,20260819,易慧敏,G,DE,30000.0,0.0227,,,96.7114,197000.0
001205.SZ,20260819,万达控股集团有限公司,C,IN,2260443.0,1.3578,25332661.0,15.2162,,25332661.0
002421.SZ,20260819,昌都市达实企业管理(集团)有限公司,C,DE,23742663.0,1.166,247224218.0,12.1415,,247224218.0
002421.SZ,20260819,刘磅,G,DE,18986600.0,0.9325,28.0,0.0,,72256310.0
603315.SH,20260819,中科(辽宁)实业有限公司,C,DE,2774100.0,0.8659,84301263.0,26.314,,84301263.0
603315.SH,20260819,中科(辽宁)实业有限公司,C,DE,2774100.0,0.8659,84301263.0,26.314,,84301263.0
688648.SH,20260819,国华卫星应用产业基金(南京)合伙企业(有限合伙),C,DE,306000.0,0.4401,3437406.0,4.9439,,3437406.0
300818.SZ,20260818,江西耐普矿机股份有限公司2022年员工持股计划,C,DE,2790559.0,1.9634,,,,0.0
301503.SZ,20260818,珠海市昭华投资企业(有限合伙),C,DE,64000.0,0.1443,3770000.0,8.4986,33.77,3770000.0
300911.SZ,20260818,嵊州市亿旺投资管理合伙企业(有限合伙),C,DE,4208256.0,2.456,0.0,,20.5671,0.0
301296.SZ,20260818,北京厚生投资管理中心(有限合伙)-苏州厚齐股权投资中心(有限合伙),C,DE,3139200.0,0.735,22262019.0,5.2122,,22262019.0
301503.SZ,20260818,珠海市昭华投资企业(有限合伙),C,DE,26000.0,0.0451,3744000.0,6.4923,21.91,3744000.0
300818.SZ,20260818,江西耐普矿机股份有限公司2022年员工持股计划,C,DE,2790559.0,1.9634,,,,0.0
301607.SZ,20260818,湖北长江蔚来新能源投资管理有限公司-湖北长江蔚来新能源产业发展基金合伙企业(有限合伙),C,DE,1488100.0,1.3507,17242171.0,11.3591,,17242171.0
301282.SZ,20260818,叶劲忠,P,DE,1000000.0,0.5663,,,,
603333.SH,20260818,李广元,P,DE,6215200.0,1.0,49620100.0,7.9836,9.3029,49620100.0
300818.SZ,20260818,江西耐普矿机股份有限公司2022年员工持股计划,C,DE,2790559.0,1.9634,,,,0.0
301397.SZ,20260818,韩宗俊,G,IN,400772.0,0.4335,130251.0,0.1409,37.42,64159644.0
688485.SH,20260818,邵斌,G,DE,397000.0,0.2642,1873501.0,1.2466,54.07,1873501.0
002729.SZ,20260818,孙剑波,P,DE,5700.0,0.0032,9148455.0,5.214,,9148455.0
002863.SZ,20260818,君润国际投资有限公司,C,DE,5020572.0,0.8375,0.0,,4.44,0.0
002146.SZ,20260818,吴秋云,G,IN,440000.0,0.0112,480600.0,0.0123,,480600.0
002146.SZ,20260818,穆旸,G,IN,360000.0,0.0092,391000.0,0.01,,391000.0
002146.SZ,20260818,隆小康,G,IN,21000.0,0.0005,1187100.0,0.0303,,1187100.0
002146.SZ,20260818,邹家立,G,IN,40000.0,0.001,23890000.0,0.6108,,23890000.0
002146.SZ,20260818,王晓辉,G,IN,110000.0,0.0028,530100.0,0.0136,,530100.0
001336.SZ,20260818,杭州浙楚股权投资合伙企业(有限合伙),C,DE,2117550.0,3.2933,999561.0,1.5546,,999561.0
001336.SZ,20260818,杭州浙楚股权投资合伙企业(有限合伙),C,DE,206000.0,0.4177,2397778.0,4.8614,24.22,2397778.0
603333.SH,20260818,李广元,P,DE,6215200.0,1.0,49620100.0,7.9836,9.3029,49620100.0
600152.SH,20260818,宁波市工业投资有限责任公司,C,DE,1350000.0,0.2552,23403157.0,4.4234,,23403157.0
600883.SH,20260818,上海德朋实业有限公司,C,DE,2355500.0,0.9977,11804420.0,5.0,,11804420.0
600935.SH,20260818,安徽皖投工业投资有限公司,C,DE,3844400.0,0.1096,304906316.0,8.6932,,304906316.0
301282.SZ,20260817,麦睿明,P,DE,4184000.0,2.3695,16662000.0,9.4361,,16662000.0
301078.SZ,20260817,侍光磊,G,IN,400000.0,0.0317,,,,1429053.0
301078.SZ,20260817,徐卫红,G,IN,1878800.0,0.1489,2628800.0,0.2083,,2628800.0
301078.SZ,20260817,江苏博思达企业信息咨询有限公司,C,IN,79943.0,0.0063,289327943.0,22.9271,,289327943.0
688525.SH,20260815,孙静,P,DE,2354183.0,0.5,2645817.0,0.5619,327.9857,2645817.0
688485.SH,20260815,广州轨道交通产业投资发展基金(有限合伙),C,DE,3099473.0,2.0623,9298604.0,6.187,57.4364,9298604.0
300228.SZ,20260815,于清清,G,DE,120000.0,0.0215,0.0,,7.41,360000.0
300228.SZ,20260815,肖华,G,DE,18000.0,0.0032,132000.0,0.0236,7.4,582000.0
300228.SZ,20260815,陈亮,G,DE,31200.0,0.0056,50.0,0.0,7.55,93800.0
603115.SH,20260815,南通联力投资管理有限公司,C,DE,2221000.0,0.9081,12599000.0,5.1512,,12599000.0
002637.SZ,20260815,方银军,P,DE,718200.0,0.1545,22801840.0,4.9039,,22801840.0
600021.SH,20260815,田建东,G,DE,14000.0,0.0005,,,14.56,42100.0
688361.SH,20260815,国投(上海)科技成果转化创业投资基金企业(有限合伙),C,DE,2585130.0,0.7343,21885010.0,6.2164,,21885010.0
